instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE637H01024,13756.0,SHIVAMAUTO,SHIVAM AUTO.LTD,41.19,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE644Y01017,1497.0,SHIVAMILLS,SHIVA MILLS LIMITED,92.91,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE705C01020,804.0,SHIVATEX,SHIVA TEXYARN LIMITED,184.79,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE719F01016,13471.0,SHIVAUM,SHIV AUM STEELS LIMITED,,,,0.05,500.0,EQUITY,,NSE
NSE_EQ|INE500L01026,11212.0,SHK,S H KELKAR AND CO. LTD.,202.0,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE498B01024,11813.0,SHOPERSTOP,SHOPPERS STOP LIMITED,752.7,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE715Y01023,708.0,SHRADHA,SHRADHA INFRAPROJECTS LTD,93.19,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE232A01011,3099.0,SHREDIGCEM,SHREE DIGVIJAY CEM CO LTD,111.24,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE070A01015,3103.0,SHREECEM,SHREE CEMENT LIMITED,27538.9,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0S4Y01010,23074.0,SHREEKARNI,SHREE KARNI FABCOM LTD,617.0,,,0.05,600.0,EQUITY,,NSE
NSE_EQ|INE02S501018,20603.0,SHREEOSFM,SHREE OSFM E-MOBILITY LTD,162.7,,,0.05,1000.0,EQUITY,,NSE
NSE_EQ|INE712K01011,10588.0,SHREEPUSHK,SHRE PUSH CHEM & FERT LTD,193.41,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE879A01019,7634.0,SHREERAMA,SHREE RAMA MULTI TECH LTD,23.51,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0GTI23014,5718.0,SHREMINVIT,SHREM INVIT,,,,0.01,200000.0,EQUITY,,NSE
NSE_EQ|INE632X01030,11149.0,SHRENIK,SHRENIK LIMITED,0.92,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE231C01019,3126.0,SHREYANIND,SHREYANS INDUSTRIES LTD,248.86,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE757B01015,3129.0,SHREYAS,SHREYAS SHIPPING & LOGIST,328.75,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE526E01018,17186.0,SHRIPISTON,SHRIRAM PIST. & RING LTD,1976.1,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE721A01013,4306.0,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,2566.95,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE217L01019,7200.0,SHRIRAMPPS,SHRIRAM PROPERTIES LTD,114.42,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0OMF01015,17684.0,SHRITECH,SHRI TECHTEX LIMITED,63.25,,,0.05,2000.0,EQUITY,,NSE
NSE_EQ|INE01Z401013,6451.0,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,34.8,,,0.05,1000.0,EQUITY,,NSE
NSE_EQ|INE979R01011,10192.0,SHYAMCENT,SHYAM CENTURY FERROUS LTD,18.13,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE810G01011,4693.0,SHYAMMETL,SHYAM METALICS AND ENGY L,640.55,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE635A01023,13741.0,SHYAMTEL,SHYAM TELECOM LIMITED,14.63,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE075B01020,19440.0,SICALLOG,SICAL LOGISTICS LIMITED,161.91,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0A1E01018,3148.0,SIDDHIKA,SIDDHIKA COATINGS LIMITED,287.7,,,0.05,500.0,EQUITY,,NSE
NSE_EQ|INE003A01024,3150.0,SIEMENS,SIEMENS LTD,7065.3,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0D0K01022,6663.0,SIGACHI,SIGACHI INDUSTRIES LTD,65.35,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE529F01035,4522.0,SIGIND,SIGNET INDUSTRIES LIMITED,90.83,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0A0S01010,16658.0,SIGMA,SIGMA SOLVE LIMITED,397.25,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE903U01023,18743.0,SIGNATURE,SIGNATUREGLOBAL INDIA LTD,1293.75,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0RDE01010,23147.0,SIGNORIA,SIGNORIA CREATION LIMITED,130.0,,,0.05,2000.0,EQUITY,,NSE
NSE_EQ|INE0KGZ01021,22656.0,SIGNPOST,SIGNPOST INDIA LIMITED,305.75,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE112X01017,6218.0,SIKKO,SIKKO INDUSTRIES LIMITED,97.01,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE173A01025,11297.0,SIL,STANDARD INDUSTRIES LTD.,24.87,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE01II01013,2492.0,SILGO,SILGO RETAIL LIMITED,34.25,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE923A01015,4105.0,SILINV,SIL INVESTMENTS LIMITED,482.1,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0STN01015,23736.0,SILKFLEX,SILKFLEX POLYMERS INDIA L,53.65,,,0.05,2000.0,EQUITY,,NSE
NSE_EQ|INE203Y01012,19097.0,SILLYMONKS,SILLY MONKS ENTERTAIN LTD,18.55,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF209KB19F6,8003.0,SILVER,BIRLASLAMC - SILVER,90.1,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF174KA1KU9,13082.0,SILVER1,KOTAKMAMC - KOTAKSILVE,87.83,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF740KA1RE3,10761.0,SILVERADD,DSPAMC - DSPSILVETF,87.22,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF204KC1402,8080.0,SILVERBEES,NIPPONAMC - NETFSILVER,86.82,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF789F1AYK6,15085.0,SILVERETF,UTIAMC - SILVERETF,89.6,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INF109KC1Y56,7942.0,SILVERIETF,ICICIPRAMC - ICICISILVE,90.03,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE625X01018,9422.0,SILVERTUC,SILVER TOUCH TECHNO LTD,787.75,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INF769K01KG6,16777.0,SILVRETF,MIRAEAMC - MASILVER,88.28,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE748T01016,14612.0,SIMBHALS,SIMBHAOLI SUGARS LTD.,31.06,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE059B01024,9331.0,SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,131.24,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE985A01022,23480.0,SINCLAIR,SINCLAIRS HOTELS LIMITED,117.58,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE325D01025,16859.0,SINDHUTRAD,SINDHU TRADE LINKS LTD,23.94,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE129Z01016,381.0,SINTERCOM,SINTERCOM INDIA LIMITED,135.74,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE792Z01011,11050.0,SIRCA,SIRCA PAINT INDIA LIMITED,331.45,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE285J01028,21501.0,SIS,SIS LIMITED,436.25,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE965H01011,14001.0,SITINET,SITI NETWORKS LIMITED,0.63,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE076B01028,14096.0,SIYSIL,SIYARAM SILK MILLS LTD,465.15,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0F3301020,20542.0,SJLOGISTIC,S J LOGISTICS (INDIA) LTD,439.65,,,0.05,500.0,EQUITY,,NSE
NSE_EQ|INE284S01014,6643.0,SJS,SJS ENTERPRISES LIMITED,794.65,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE002L01015,18883.0,SJVN,SJVN LTD,134.13,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE640A01023,3186.0,SKFINDIA,SKF INDIA LTD,6237.8,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE439E01022,9428.0,SKIPPER,SKIPPER LIMITED,354.3,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|IN9439E01012,22829.0,SKIPPERPP,SKIPPER RE.0.25 PPD UP,196.5,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE411D01015,4732.0,SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,251.04,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE0KZA01016,10325.0,SKP,SKP BEARING INDUSTRI. LTD,216.85,,,0.05,500.0,EQUITY,,NSE
NSE_EQ|INE01IU01018,13634.0,SKYGOLD,SKY GOLD LIMITED,1213.1,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0SMA01017,23689.0,SLONE,SLONE INFOSYSTEMS LIMITED,102.9,,,0.05,1600.0,EQUITY,,NSE
NSE_EQ|INF769K01LC3,22832.0,SMALLCAP,MIRAEAMC - SMALLCAP,49.67,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE178C01020,9893.0,SMARTLINK,SMARTLINK HOLDINGS LTD,293.45,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE103C01036,2320.0,SMCGLOBAL,SMC GLOBAL SECURITIES LTD,172.34,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE294B01019,3387.0,SMLISUZU,SML ISUZU LIMITED,2130.45,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE017W01010,6843.0,SMLT,SARTHAK METALS LIMITED,208.11,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE320X01016,21551.0,SMSLIFE,SMS LIFESCIENCES (I) LTD,810.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE812G01025,14329.0,SMSPHARMA,SMS PHARMACEUTICALS LTD.,208.91,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE702Y01013,850.0,SMVD,SMVD POLY PACK LIMITED,,,,0.05,4040.0,EQUITY,,NSE
NSE_EQ|INE734N01019,4843.0,SNOWMAN,SNOWMAN LOGISTICS LTD.,71.2,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE671H01015,13826.0,SOBHA,SOBHA LIMITED,2062.5,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE728Z01015,8266.0,SOFTTECH,SOFTTECH ENGINEERS LTD,299.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE624Z01016,3672.0,SOLARA,SOLARA ACTIVE PHA SCI LTD,440.6,,,0.05,1.0,EQUITY,,NSE
